,,,,,,,,,,
./andand,./andand,./andand,./andand,./andand,./andand,./andand,./andand,./andand,./andand,Sum
0.454606,0.459733,0.484261,0.456842,0.526976,0.456498,0.455883,0.456088,0.451503,0.455856,4.658246
,,,,,,,,,,
,,,,,,,,,,
./and,./and,./and,./and,./and,./and,./and,./and,./and,./and,
0.456215,0.453957,0.459188,0.456294,0.453185,0.496006,0.49463,0.453164,0.457792,0.452307,4.632738
,,,,,,,,,,
,,,,,,,,,,
./mul,./mul,./mul,./mul,./mul,./mul,./mul,./mul,./mul,./mul,
0.472881,0.475346,0.470599,0.473667,0.472871,0.476144,0.51081,0.505738,0.477069,0.476253,4.811378
,,,,,,,,,,
,,,,,,,,,,
./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,./minus_mul_plus,
0.64145,0.641243,0.606443,0.610815,0.609956,0.614228,0.6405,0.605331,0.605968,0.636274,6.212208
,,,,,,,,,,
,,,,,,,,,,
./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,./minus_abs_plus,
0.531499,0.499855,0.500306,0.531338,0.497747,0.501929,0.497625,0.498741,0.502724,0.497806,5.05957
,,,,,,,,,,
,,,,,,,,,,
./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,./andand_double,
1.66894,1.69777,1.6967,1.74252,1.74043,1.66734,2.83648,1.67134,1.7026,1.69974,18.12386
,,,,,,,,,,
,,,,,,,,,,
./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,./andand_float,
1.51163,1.47285,1.4733,1.48928,1.46853,1.44302,1.47295,1.5086,1.5101,1.97475,15.32501
,,,,,,,,,,
,,,,,,,,,,
./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,./minus_mul_double_plus,
2.76128,3.34422,2.75659,2.75355,2.71335,2.75706,2.78492,3.23269,2.75513,2.75302,28.61181
,,,,,,,,,,
,,,,,,,,,,
./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,./compare_zero,
0.482205,0.480283,0.483164,0.512216,0.481324,0.480314,0.479021,0.478797,0.481336,0.479653,4.838313
